"RESULTID","RACEID","DRIVERID","GRID","POSITIONTEXT","POINTS","LAPS","TIME","FASTESTLAP","FASTESTLAPSPEED"
416,38,2,5,"4",5,57,"13.831",38,206.236
417,38,4,4,"5",4,57,"14.426",46,206.346
418,38,9,6,"6",3,57,"45.529",46,205.477
419,38,15,9,"7",2,57,"+1:21.371",40,204.756
420,38,21,7,"8",1,57,"+1:21.701",51,204.655
421,38,5,12,"9",0,57,"+1:29.411",27,204.065
422,38,3,10,"10",0,57,"+1:29.916",51,203.893
423,38,25,11,"11",0,56,"",27,202.966
424,38,23,14,"12",0,56,"",37,203.278
425,38,22,15,"13",0,56,"",50,203.284
426,38,27,22,"14",0,55,"",40,200.477
427,38,16,20,"15",0,53,"",45,201.33
428,38,19,13,"16",0,51,"",27,202.715
429,38,17,8,"R",0,41,"",37,203.575
430,38,14,21,"R",0,36,"",34,204.26
431,38,11,17,"R",0,34,"",23,202.193
1205,74,17,4,"7",2,62,"+1:23.297",17,210.364
1206,74,24,15,"8",1,62,"+1:23.764",46,212.71
1207,74,23,10,"9",0,62,"+1:35.841",19,210.836
1208,74,13,18,"10",0,61,"",37,212.42
